empresa,pais,ventas,beneficios,activos,valor de mercado
Target,United States,93561.0,4368.0,51248.0,103986.0
Booking Holdings,United States,6796.0,59.0,21874.0,101679.0
Micron Technology,United States,23503.0,3197.0,54135.0,101668.0
Advanced Micro Devices,United States,9763.0,2490.0,8962.0,99780.0
CVS Health,United States,268654.0,7179.0,238489.0,99594.0
Daimler,Germany,175908.0,4134.7,349614.0,99184.0
Vale,Brazil,40427.0,5178.7,92051.0,99168.0
AIRBUS,Netherlands,56898.0,-1291.6,134707.0,97573.0
Zoom Video Communications,United States,2651.0,671.6,5298.0,96911.0
Altria Group,United States,20841.0,4459.0,47414.0,96888.0
Stryker,United States,14351.0,1599.0,34330.0,96764.0
Nippon Telegraph & Tel,Japan,110283.0,8331.7,231120.0,96726.0
Intuitive Surgical,United States,4358.0,1060.6,11169.0,96190.0
Kering,France,14934.0,2451.4,34266.0,95029.0
Fidelity National Information,United States,12553.0,157.0,83842.0,94948.0
CSL,Australia,9882.0,2620.0,17691.0,94741.0
Saudi Basic Industries,Saudi Arabia,31337.0,37.0,79966.0,93254.0
GlaxoSmithKline,United Kingdom,43727.0,7372.3,109945.0,92929.0
Snap,United States,2507.0,-944.8,5024.0,92384.0
Anthem,United States,121885.0,4572.0,88276.0,91992.0
Lam Research,United States,11926.0,2964.1,15370.0,91991.0
British American Tobacco,United States,33054.0,8207.1,188215.0,91649.0
Deutsche Telekom,Germany,115136.0,4738.9,345416.0,91623.0
Schneider Electric,France,28681.0,2423.6,60544.0,91308.0
S&P Global,United States,7442.0,2340.0,12537.0,91072.0
Cigna,United States,160550.0,8458.0,151543.0,87738.0
US Bancorp,United States,23145.0,6052.0,553375.0,86939.0
Iberdrola,Spain,37784.0,4116.4,149907.0,86359.0
Sberbank,Russia,47260.0,10447.1,486937.0,85651.0
China International Travel Service,China,6665.0,513.4,5747.0,85563.0
Midea Group,China,39071.0,3555.4,51456.0,85514.0
Fast Retailing,Japan,18905.0,903.8,23483.0,84687.0
General Motors,United States,122485.0,6427.0,235194.0,84596.0
BP,United Kingdom,180022.0,-20913.0,267654.0,84505.0
Xiaomi  ,China,35734.0,2976.2,38790.0,84502.0
Canadian National Railway,Canada,10303.0,2655.6,35622.0,84494.0
TJX Cos,United States,32137.0,90.5,30814.0,84406.0
